FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0100;56;;;
150101;0200;24;;;
150101;0300;49;;;
150101;0400;29;;;
150101;0500;14;;;
150101;0600;17;;;
150101;0700;12;;;
150101;0800;6;;;
150101;0900;4;;;
150101;1000;14;;;
150101;1100;14;;;
150101;1200;9;;;
150101;1300;10;;;
150101;1400;9;;;
150101;1500;12;;;
150101;1600;7;;;
150101;1700;5;;;
150101;1800;4;;;
150101;1900;5;;;
150101;2000;30;;;
150101;2100;78;;;
150101;2200;109;;;
150101;2300;23;;;
150102;0000;12;;;
150102;0100;7;;;
150102;0200;16;;;
150102;0300;16;;;
150102;0400;22;;;
150102;0500;13;;;
150102;0600;18;;;
150102;0700;17;;;
150102;0800;9;;;
150102;0900;7;;;
150102;1000;4;;;
150102;1100;4;;;
150102;1200;4;;;
150102;1300;4;;;
150102;1400;4;;;
150102;1500;4;;;
150102;1600;4;;;
150102;1700;;;;
150102;1800;4;;;
150102;1900;5;;;
150102;2000;7;;;
150102;2100;22;;;
150102;2200;29;;;
150102;2300;27;;;
150103;0000;26;;;
150103;0100;4;;;
150103;0200;4;;;
150103;0300;4;;;
150103;0400;4;;;
150103;0500;20;;;
150103;0600;20;;;
150103;0700;5;;;
150103;0800;4;;;
150103;0900;4;;;
150103;1000;4;;;
150103;1100;4;;;
150103;1200;4;;;
150103;1300;4;;;
150103;1400;4;;;
150103;1500;4;;;
150103;1600;4;;;
150103;1700;4;;;
150103;1800;4;;;
150103;1900;4;;;
150103;2000;6;;;
150103;2100;5;;;
150103;2200;4;;;
150103;2300;4;;;
150104;0000;4;;;
150104;0100;5;;;
150104;0200;4;;;
150104;0300;4;;;
150104;0400;4;;;
150104;0500;4;;;
150104;0600;4;;;
150104;0700;4;;;
150104;0800;4;;;
150104;0900;4;;;
150104;1000;4;;;
150104;1100;4;;;
150104;1200;4;;;
150104;1300;4;;;
150104;1400;4;;;
150104;1500;4;;;
150104;1600;6;;;
150104;1700;10;;;
150104;1800;17;;;
150104;1900;11;;;
150104;2000;17;;;
150104;2100;43;;;
150104;2200;12;;;
150104;2300;6;;;
150105;0000;8;;;
150105;0100;10;;;
150105;0200;9;;;
150105;0300;8;;;
150105;0400;6;;;
150105;0500;4;;;
150105;0600;4;;;
150105;0700;9;;;
150105;0800;8;;;
150105;0900;6;;;
150105;1000;4;;;
150105;1100;4;;;
150105;1200;4;;;
150105;1300;4;;;
150105;1400;4;;;
150105;1500;4;;;
150105;1600;4;;;
150105;1700;4;;;
150105;1800;8;;;
150105;1900;8;;;
150105;2000;20;;;
150105;2100;10;;;
150105;2200;12;;;
150105;2300;6;;;
150106;0000;4;;;
150106;0100;4;;;
150106;0200;4;;;
150106;0300;4;;;
150106;0400;4;;;
150106;0500;4;;;
150106;0600;4;;;
150106;0700;9;;;
150106;0800;5;;;
150106;0900;5;;;
150106;1000;7;;;
150106;1100;5;;;
150106;1200;4;;;
150106;1300;4;;;
150106;1400;4;;;
150106;1500;4;;;
150106;1600;5;;;
150106;1700;4;;;
150106;1800;5;;;
150106;1900;16;;;
150106;2000;16;;;
150106;2100;12;;;
150106;2200;8;;;
150106;2300;8;;;
150107;0000;8;;;
150107;0100;14;;;
150107;0200;8;;;
150107;0300;4;;;
150107;0400;4;;;
150107;0500;5;;;
150107;0600;7;;;
150107;0700;11;;;
150107;0800;8;;;
150107;0900;7;;;
150107;1000;6;;;
150107;1100;4;;;
150107;1200;4;;;
150107;1300;4;;;
150107;1400;4;;;
150107;1500;4;;;
150107;1600;4;;;
150107;1700;4;;;
150107;1800;4;;;
150107;1900;4;;;
150107;2000;12;;;
150107;2100;17;;;
150107;2200;4;;;
150107;2300;4;;;
150108;0000;4;;;
150108;0100;4;;;
150108;0200;4;;;
150108;0300;4;;;
150108;0400;4;;;
150108;0500;4;;;
150108;0600;4;;;
150108;0700;4;;;
150108;0800;4;;;
150108;0900;4;;;
150108;1000;4;;;
150108;1100;4;;;
150108;1200;4;;;
150108;1300;4;;;
150108;1400;4;;;
150108;1500;4;;;
150108;1600;7;;;
150108;1700;6;;;
150108;1800;6;;;
150108;1900;9;;;
150108;2000;10;;;
150108;2100;13;;;
150108;2200;11;;;
150108;2300;6;;;
150109;0000;4;;;
150109;0100;4;;;
150109;0200;4;;;
150109;0300;4;;;
150109;0400;4;;;
150109;0500;4;;;
150109;0600;5;;;
150109;0700;6;;;
150109;0800;5;;;
150109;0900;4;;;
150109;1000;4;;;
150109;1100;4;;;
150109;1200;4;;;
150109;1300;4;;;
150109;1400;4;;;
150109;1500;4;;;
150109;1600;4;;;
150109;1700;4;;;
150109;1800;4;;;
150109;1900;5;;;
150109;2000;8;;;
150109;2100;10;;;
150109;2200;15;;;
150109;2300;5;;;
150110;0000;4;;;
150110;0100;4;;;
150110;0200;4;;;
150110;0300;4;;;
150110;0400;4;;;
150110;0500;4;;;
150110;0600;7;;;
150110;0700;6;;;
150110;0800;6;;;
150110;0900;15;;;
150110;1000;14;;;
150110;1100;10;;;
150110;1200;12;;;
150110;1300;11;;;
150110;1400;12;;;
150110;1500;12;;;
150110;1600;12;;;
150110;1700;8;;;
150110;1800;9;;;
150110;1900;19;;;
150110;2000;27;;;
150110;2100;17;;;
150110;2200;26;;;
150110;2300;13;;;
150111;0000;8;;;
150111;0100;7;;;
150111;0200;5;;;
150111;0300;4;;;
150111;0400;6;;;
150111;0500;5;;;
150111;0600;4;;;
150111;0700;4;;;
150111;0800;4;;;
150111;0900;7;;;
150111;1000;6;;;
150111;1100;6;;;
150111;1200;8;;;
