FECHA (YYMMDD);HORA (HHMM);;
150101;0100;;
150101;0200;;
150101;0300;;
150101;0400;;
150101;0500;;
150101;0600;;
150101;0700;;
150101;0800;;
150101;0900;;
150101;1000;;
150101;1100;;
150101;1200;;
150101;1300;;
150101;1400;;
150101;1500;;
150101;1600;;
150101;1700;;
150101;1800;;
150101;1900;;
150101;2000;;
150101;2100;;
150101;2200;;
150101;2300;;
150102;0000;;
150102;0100;;
150102;0200;;
150102;0300;;
150102;0400;;
150102;0500;;
150102;0600;;
150102;0700;;
150102;0800;;
150102;0900;;
150102;1000;;
150102;1100;;
150102;1200;;
150102;1300;;
150102;1400;;
150102;1500;;
150102;1600;;
150102;1700;;
150102;1800;;
150102;1900;;
150102;2000;;
150102;2100;;
150102;2200;;
150102;2300;;
150103;0000;;
150103;0100;;
150103;0200;;
150103;0300;;
150103;0400;;
150103;0500;;
150103;0600;;
150103;0700;;
150103;0800;;
150103;0900;;
150103;1000;;
150103;1100;;
150103;1200;;
150103;1300;;
150103;1400;;
150103;1500;;
150103;1600;;
150103;1700;;
150103;1800;;
150103;1900;;
150103;2000;;
150103;2100;;
150103;2200;;
150103;2300;;
150104;0000;;
150104;0100;;
150104;0200;;
150104;0300;;
150104;0400;;
150104;0500;;
150104;0600;;
150104;0700;;
150104;0800;;
150104;0900;;
150104;1000;;
150104;1100;;
150104;1200;;
150104;1300;;
150104;1400;;
150104;1500;;
150104;1600;;
150104;1700;;
150104;1800;;
150104;1900;;
150104;2000;;
150104;2100;;
150104;2200;;
150104;2300;;
150105;0000;;
150105;0100;;
150105;0200;;
150105;0300;;
150105;0400;;
150105;0500;;
150105;0600;;
150105;0700;;
150105;0800;;
150105;0900;;
150105;1000;;
150105;1100;;
150105;1200;;
150105;1300;;
150105;1400;;
150105;1500;;
150105;1600;;
150105;1700;;
150105;1800;;
150105;1900;;
150105;2000;;
150105;2100;;
150105;2200;;
150105;2300;;
150106;0000;;
150106;0100;;
150106;0200;;
150106;0300;;
150106;0400;;
150106;0500;;
150106;0600;;
150106;0700;;
150106;0800;;
150106;0900;;
150106;1000;;
150106;1100;;
150106;1200;;
150106;1300;;
150106;1400;;
150106;1500;;
150106;1600;;
150106;1700;;
150106;1800;;
150106;1900;;
150106;2000;;
150106;2100;;
150106;2200;;
150106;2300;;
150107;0000;;
150107;0100;;
150107;0200;;
150107;0300;;
150107;0400;;
150107;0500;;
150107;0600;;
150107;0700;;
150107;0800;;
150107;0900;;
150107;1000;;
150107;1100;;
150107;1200;;
150107;1300;;
150107;1400;;
150107;1500;;
150107;1600;;
150107;1700;;
150107;1800;;
150107;1900;;
150107;2000;;
150107;2100;;
150107;2200;;
150107;2300;;
150108;0000;;
150108;0100;;
150108;0200;;
150108;0300;;
150108;0400;;
150108;0500;;
150108;0600;;
150108;0700;;
150108;0800;;
150108;0900;;
150108;1000;;
150108;1100;;
150108;1200;;
150108;1300;;
150108;1400;;
150108;1500;;
150108;1600;;
150108;1700;;
150108;1800;;
150108;1900;;
150108;2000;;
150108;2100;;
150108;2200;;
150108;2300;;
150109;0000;;
150109;0100;;
150109;0200;;
150109;0300;;
150109;0400;;
150109;0500;;
150109;0600;;
150109;0700;;
150109;0800;;
150109;0900;;
150109;1000;;
150109;1100;;
150109;1200;;
150109;1300;;
150109;1400;;
150109;1500;;
150109;1600;;
150109;1700;;
150109;1800;;
150109;1900;;
150109;2000;;
150109;2100;;
150109;2200;;
150109;2300;;
150110;0000;;
150110;0100;;
150110;0200;;
150110;0300;;
150110;0400;;
150110;0500;;
150110;0600;;
150110;0700;;
150110;0800;;
150110;0900;;
150110;1000;;
150110;1100;;
150110;1200;;
150110;1300;;
150110;1400;;
150110;1500;;
150110;1600;;
150110;1700;;
150110;1800;;
150110;1900;;
150110;2000;;
150110;2100;;
150110;2200;;
150110;2300;;
150111;0000;;
150111;0100;;
150111;0200;;
150111;0300;;
150111;0400;;
150111;0500;;
150111;0600;;
150111;0700;;
150111;0800;;
150111;0900;;
150111;1000;;
150111;1100;;
150111;1200;;
150111;1300;;
150111;1400;;
150111;1500;;
150111;1600;;
150111;1700;;
150111;1800;;
150111;1900;;
150111;2000;;
150111;2100;;
150111;2200;;
150111;2300;;
150112;0000;;
150112;0100;;
150112;0200;;
150112;0300;;
150112;0400;;
150112;0500;;
150112;0600;;
150112;0700;;
